Year,Act Number,Act Name,,
2026,10,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2026/04/10-2026_E.pdf"",""Social Security Contribution Levy (Amendment) Act"")",,
2026,9,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2026/04/09-2026_E.pdf"",""Microfinance and Credit Regulatory Authority Act"")",,
2026,8,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2026/04/08-2026_E.pdf"",""Judicature (Amendment) Act"")",,
2026,7,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2026/04/07-2026_E.pdf"",""Poisons, Opium and Dangerous Drugs (Amendment) Act"")",,
2026,6,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2026/04/06-2026_E.pdf"",""Institute of Real Estate Professionals, Sri Lanka Act"")",,
2026,5,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2026/04/05-2026_E.pdf"",""Parliamentary Pensions (Repeal) Act"")",,
2026,4,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2026/04/04-2026_E.pdf"",""Licensing of Shipping Agents, Freight Forwarders, Non-Vessel Operating Common Carriers and Container Operators (Amendment) Act"")",,
2026,3,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2026/04/03-2026_E.pdf"",""Licensing of Container Depot Operators Act"")",,
2026,2,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2026/04/02-2026_E.pdf"",""Universities (Amendment) Act"")",,
2026,1,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2026/04/01-2026_E.pdf"",""Colombo Port City Economic Commission (Amendment) Act"")",,
2025,26,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2026/01/26-2025_E.pdf"",""Strategic Development Projects (Amendment) Act"")",,
2025,25,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2026/01/25-2025_E.pdf"",""Betting and Gaming Levy (Amendment) Act"")",,
2025,24,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2026/01/24-2025_E.pdf"",""Social Security Contribution Levy (Amendment) Act"")",,
2025,23,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2026/01/23-2025_E.pdf"",""Appropriation Act"")",,
2025,22,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2025/11/22-2025_E.pdf"",""Personal Data Protection (Amendment) Act"")",,
2025,21,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2025/11/21-2025_E.pdf"",""Convention against Doping in Sport (Amendment) Act"")",,
2025,20,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2025/11/20-2025_E.pdf"",""National Building Research Institute Act"")",,
2025,19,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2025/11/19-2025_E.pdf"",""National Audit (Amendment) Act"")",,
2025,18,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2025/09/18-2025_E.pdf"",""Presidents Entitlements (Repeal) Act"")",,
2025,17,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2025/09/17-2025_E.pdf"",""Gambling Regulatory Authority Act"")",,
2025,16,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2025/09/16-2025_E.pdf"",""Rubber Control (Amendment) Act"")",,
2025,15,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2025/09/15-2025_E.pdf"",""Samurdhi (Amendment) Act"")",,
2025,14,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2025/09/14-2025_E.pdf"",""Sri Lanka Electricity (Amendment) Act"")",,
2025,13,"=HYPERLINK(""https://lankalaw.net/wp-content/uploads/2025/09/13-2025_E.pdf"",""Bills of Exchange (Amendment) Act"")",,
