Gazette Number,Date,Description,Link
,2026-05-29,Ordinary Gazette,https://documents.gov.lk/view/gz/2026-05-29.html
,2026-05-22,Ordinary Gazette,https://documents.gov.lk/view/gz/2026-05-22.html
2489/01,2026-05-18,Sri Lanka Customs - Rates of Exchange with effect from 18.05.2026 to 24.05.2026,https://documents.gov.lk/view/egz/2026/5/2489-01_E.pdf
2489/02,2026-05-18,Department of Local Government - NWP - First Meeting of Elected for Chairman and Vice chairman of the Wanathawilluwa P.S,https://documents.gov.lk/view/egz/2026/5/2489-02_E.pdf
2489/03,2026-05-18,Election Commission,https://documents.gov.lk/view/egz/2026/5/2489-03_E.pdf
2489/05,2026-05-18,Election Commission,https://documents.gov.lk/view/egz/2026/5/2489-05_E.pdf
2489/06,2026-05-18,Election Commission,https://documents.gov.lk/view/egz/2026/5/2489-06_E.pdf
2489/08,2026-05-18,"Ministry of youth Affairs and Sports - Prevention of Offence Relating to Sport Act, Ni. 24 of 2019 Regulation Made under Section 21",https://documents.gov.lk/view/egz/2026/5/2489-08_E.pdf
2488/69,2026-05-17,Department of Trade and Investment Policy - Customs Ordinance (Chapter 235) under Section 10 (A),https://documents.gov.lk/view/egz/2026/5/2488-69_E.pdf
2488/56,2026-05-15,Department of trade and Investment Policy - The Customs Ordinance (Chapter 235) Order under Section 10A,https://documents.gov.lk/view/egz/2026/5/2488-56_E.pdf
2488/68,2026-05-15,Election Commission - H.M. Sampath Anura Bandara Herath Elected as a Member of Kekirawa P.S,https://documents.gov.lk/view/egz/2026/5/2488-68_E.pdf
,2026-05-15,Ordinary Gazette,https://documents.gov.lk/view/gz/2026-05-15.html
2488/13,2026-05-13,Presidential Secretariat - The Public Security Ordinance (Chapter 40) Notice under Section 2 (7),https://documents.gov.lk/view/egz/2026/5/2488-13_E.pdf
2488/15,2026-05-13,Ministry of Labour - Wages Board Ordinance Wages Board for Garment Manufacturing Trade,https://documents.gov.lk/view/egz/2026/5/2488-15_E.pdf
2488/16,2026-05-13,Ministry of Public Administration P.C. and L.G - Appointments under the Notaries Ordinance,https://documents.gov.lk/view/egz/2026/5/2488-16_E.pdf
2488/17,2026-05-13,Land Aquation,https://documents.gov.lk/view/egz/2026/5/2488-17_E.pdf
2488/18,2026-05-13,Ministry of Labour,https://documents.gov.lk/view/egz/2026/5/2488-18_E.pdf
2488/32,2026-05-13,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/5/2488-32_E.pdf
2488/39,2026-05-13,"Ministry of Housing, Construction and Water Supply - National Water Supply and Drainage Board Act, No 02 of 1974 Order under Section 64 (1)",https://documents.gov.lk/view/egz/2026/5/2488-39_E.pdf
2488/08,2026-05-12,Ministry of Defence - Amendment to the Consolidated List under Regulation 4 (2)(B) united Nations Regulations No. 2 of 2012,https://documents.gov.lk/view/egz/2026/5/2488-08_E.pdf
2488/09,2026-05-12,Election Commission,https://documents.gov.lk/view/egz/2026/5/2488-09_E.pdf
2488/10,2026-05-12,Election Commission,https://documents.gov.lk/view/egz/2026/5/2488-10_E.pdf
2488/11,2026-05-12,Election Commission,https://documents.gov.lk/view/egz/2026/5/2488-11_E.pdf
2488/01,2026-05-11,Sri Lanka Customs - Rates of Exchange,https://documents.gov.lk/view/egz/2026/5/2488-01_E.pdf
2488/03,2026-05-11,"Legal Affairs Department - Colombo Port City Economic Commission Act No. 11 of 2021
Home Lands Port City ( Pvt) Ltd.",https://documents.gov.lk/view/egz/2026/5/2488-03_E.pdf
2488/04,2026-05-11,"Legal Affairs Department - Colombo Port City Economic Commission Act No 11 of 2021
Prime Melwa Port City ( PVT) Ltd.",https://documents.gov.lk/view/egz/2026/5/2488-04_E.pdf
2488/05,2026-05-11,Elections Commission - 1). Filling of a Vacancy in the Office of Member of the Vavuniya South Tamil P.S 2). Filling of a Vacancy in the Office of Member of the Sri Jayawardenepura Kotta M.C,https://documents.gov.lk/view/egz/2026/5/2488-05_E.pdf
2488/06,2026-05-11,Department of local Government Sabaragamuwa P.C - Imposition of Entertainment Tax,https://documents.gov.lk/view/egz/2026/5/2488-06_E.pdf
2487/38,2026-05-08,Ministry of Health and Mass Media - Taking Over Base Hospital - Mahiyanganaya,https://documents.gov.lk/view/egz/2026/5/2487-38_E.pdf
2487/40,2026-05-08,Election Commission - Filling of a Vacancy in the office of member of the Mirigama P.S,https://documents.gov.lk/view/egz/2026/5/2487-40_E.pdf
2487/41,2026-05-08,Election Commission - Filling of a Vacancy in the office of member of the Pasbagekorale P.S,https://documents.gov.lk/view/egz/2026/5/2487-41_E.pdf
,2026-05-08,Ordinary Gazette,https://documents.gov.lk/view/gz/2026-05-08.html
2487/24,2026-05-07,"Land Aquation - Hambalamagawa Kumbura, Nagoda D/S/D, Gall District, Correction Pape, Balapitiya D/S/D, Gall District",https://documents.gov.lk/view/egz/2026/5/2487-24_E.pdf
2487/25,2026-05-07,"Land Title Settlement Dept - Rawathawatta, Moratuwa D/S/D, Colombo District ( 26/14-3-0084)",https://documents.gov.lk/view/egz/2026/5/2487-25_E.pdf
2487/27,2026-05-07,Elections Commission - Filling of a Vacancy in the office of member of the Seethawakapura U/C,https://documents.gov.lk/view/egz/2026/5/2487-27_E.pdf
2487/28,2026-05-07,"Elections Commission - Filling of a Vacancy in the office of member of the panadura p.s
filling of a vacancy in the office of member of the chilaw u/c",https://documents.gov.lk/view/egz/2026/5/2487-28_E.pdf
2487/37,2026-05-07,"Land Acquisition - Kegalle D/S/D, Kegalle District",https://documents.gov.lk/view/egz/2026/5/2487-37_E.pdf
2487/08,2026-05-05,Land Acquision,https://documents.gov.lk/view/egz/2026/5/2487-08_E.pdf
2487/12,2026-05-05,"Land Title Settlement Dept - Kalumada, Divulapitiya D/S/D, Gampaha District ( 26/14-204-00257)",https://documents.gov.lk/view/egz/2026/5/2487-12_E.pdf
2487/13,2026-05-05,Ministry of Labour - Wages Board for textile Manufacturing Trade,https://documents.gov.lk/view/egz/2026/5/2487-13_E.pdf
2487/16,2026-05-05,Elections Commission - Filling of a Vacancy in the office of Vice Chairman of the Thirukovil Pradeshiya Sabha.,https://documents.gov.lk/view/egz/2026/5/2487-16_E.pdf
2487/17,2026-05-05,"Land Acquision - Correction Paper, Baddegama D/S/D, Valigamam South Uduvilds D/S/D",https://documents.gov.lk/view/egz/2026/5/2487-17_E.pdf
2487/19,2026-05-05,Governor's Secretariat  - Sabaragamuwa - Second Supplementary Financial Statement - 2026,https://documents.gov.lk/view/egz/2026/5/2487-19_E.pdf
2487/01,2026-05-04,Sri Lanka Customs - Ranks of Exchange w.e.t. 04.05.2026 to 10.05.2026,https://documents.gov.lk/view/egz/2026/5/2487-01_E.pdf
2487/02,2026-05-04,"Ministry of Trade and Investment Policy - Special Commodity Levy Act, No. 48 of 2007",https://documents.gov.lk/view/egz/2026/5/2487-02_E.pdf
2487/03,2026-05-04,"Ministry of Education, Higher Education and Vocational Education - Degree Awarding Institute Order Sri Lanka Technology Campus (Pvt) Ltd",https://documents.gov.lk/view/egz/2026/5/2487-03_E.pdf
2487/04,2026-05-04,Elections Commission - Filling of a Vacancy in the office of member of the Galigamuwa Pradeshiya Sabha.,https://documents.gov.lk/view/egz/2026/5/2487-04_E.pdf
2487/05,2026-05-04,Election Commission - Filling of a Vacancy in  the Office Vice Chairman of the Habaraduwa Pradeshiya Sabha.,https://documents.gov.lk/view/egz/2026/5/2487-05_E.pdf
2487/06,2026-05-04,Ministry 0f Energy - Order under Section 66 (1) (a) Revise the Fuel Price,https://documents.gov.lk/view/egz/2026/5/2487-06_E.pdf
2486/20,2026-05-01,Office of the Public Service Commission - The Medical Service Minute of the Sri Lanka Health Service - 09 th Amendment,https://documents.gov.lk/view/egz/2026/5/2486-20_E.pdf
,2026-05-01,Ordinary Gazette,https://documents.gov.lk/view/gz/2026-05-01.html
2486/19,2026-04-30,"Land Aquations - Lunugala Town, Lunugala D/S/D, Badulla District",https://documents.gov.lk/view/egz/2026/4/2486-19_E.pdf
2486/16,2026-04-29,Ministry of Youth Affairs and Sports - Appointed Sri Lanka Cricket Transformation Committee,https://documents.gov.lk/view/egz/2026/4/2486-16_E.pdf
2486/17,2026-04-29,"Land Acquision - Negimbo, Negombo D/S/D, Gampaha District. Amendment, Attanagalla, Nittambuwa D/S/D Gampaha District",https://documents.gov.lk/view/egz/2026/4/2486-17_E.pdf
2486/09,2026-04-28,Ministry of Labour - Wages Boards Ordinance Wages Board for Security Service Trade,https://documents.gov.lk/view/egz/2026/4/2486-09_E.pdf
2486/10,2026-04-28,"Ministry of Transport, Highways and Urban Development - The Urban Development Law No. 41 of 1978",https://documents.gov.lk/view/egz/2026/4/2486-10_E.pdf
2486/12,2026-04-28,Office of the Governor - Uva Province - UVa Provincial Council Public Service Procedural Rules,https://documents.gov.lk/view/egz/2026/4/2486-12_E.pdf
2486/13,2026-04-28,Presidential Secretariat - Essential Public Services Act No 61 of 1979,https://documents.gov.lk/view/egz/2026/4/2486-13_E.pdf
2486/14,2026-04-28,Presidential Secretariat- public Security Ordinance ( Chapter 40),https://documents.gov.lk/view/egz/2026/4/2486-14_E.pdf
2486/15,2026-04-28,Election Commission,https://documents.gov.lk/view/egz/2026/4/2486-15_E.pdf
2486/01,2026-04-27,Sri Lanka Customs - Rates of Exchange with effect from 27.04.2026,https://documents.gov.lk/view/egz/2026/4/2486-01_E.pdf
2486/02,2026-04-27,Presidential Secretariat - The Public Security Ordinance,https://documents.gov.lk/view/egz/2026/4/2486-02_E.pdf
2486/03,2026-04-27,Ministry of Defence - Preshansaneeya Seva Padakkama,https://documents.gov.lk/view/egz/2026/4/2486-03_E.pdf
2486/04,2026-04-27,Ministry of Defence - Karyakshama Seva Padakkama,https://documents.gov.lk/view/egz/2026/4/2486-04_E.pdf
2486/05,2026-04-27,Ministry of Defence - Award of Sr Lanka Armed Services Long Service Medal,https://documents.gov.lk/view/egz/2026/4/2486-05_E.pdf
2486/06,2026-04-27,Ministry of Defence - Armed Services Long Service Medal and Clasp,https://documents.gov.lk/view/egz/2026/4/2486-06_E.pdf
2486/07,2026-04-27,Ministry of Trade Commerce Food Security and Co-operative Development -The Societies Ordinance Under Section  3 (6),https://documents.gov.lk/view/egz/2026/4/2486-07_E.pdf
2485/59,2026-04-24,Governor's Office - North Western Province - Appointment of Judicial Officer to Inquiry in Puttalam Municipal Council,https://documents.gov.lk/view/egz/2026/4/2485-59_E.pdf
2485/60,2026-04-24,Election Commission,https://documents.gov.lk/view/egz/2026/4/2485-60_E.pdf
2485/62,2026-04-24,Election Commission - Vacated Post by a Member of Kurunegala,https://documents.gov.lk/view/egz/2026/4/2485-62_E.pdf
,2026-04-24,Ordinary Gazette,https://documents.gov.lk/view/gz/2026-04-24.html
2485/57,2026-04-23,"Elections Commission - Filling of a Vacancy in the Office Member of Kayts Pradeshiya Sabha
Filling of a vacancy in the Office of Member of the Chavakachcheri Pradeshiya Sabah",https://documents.gov.lk/view/egz/2026/4/2485-57_E.pdf
2485/58,2026-04-23,"Land Aqusition - Kotapola, Kotapola D/S/D, Matara District 
Amendment , Kirioya Elehera D/S/D, Polonnaruwa District",https://documents.gov.lk/view/egz/2026/4/2485-58_E.pdf
2485/22,2026-04-22,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/4/2485-22_E.pdf
2485/36,2026-04-22,"Ministry of transport, Highways and Urban Development - Re Gazetting of National Highway Kandy Mahiyangana, Padiyatalawa Rd,",https://documents.gov.lk/view/egz/2026/4/2485-36_E.pdf
2485/37,2026-04-22,"Ministry of Transport ,Highways and Urban Development - Regazetting of National Highways , Battuluoya, Udappuwa, Karambe Road",https://documents.gov.lk/view/egz/2026/4/2485-37_E.pdf
2485/38,2026-04-22,"Ministry of Transport, Highway and Urban Development - Declaration of Road as a National Highway",https://documents.gov.lk/view/egz/2026/4/2485-38_E.pdf
2485/44,2026-04-22,"Land Title Settlement Dept - Aththidiya, Rathmalana D/S/D, Colombo District (7932)",https://documents.gov.lk/view/egz/2026/4/2485-44_E.pdf
